SOURCE: Data,METHODS:                  Sampling/Analysis,DATE (mm/dd/yyyy),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2 nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-3),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-3),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia nifH Gene (x106 copies m-3),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-3),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Gamma 1 nifH Gene (x106 copies/m3),Gamma 2 nifH Gene (x106 copies/m3),Gamma 3 nifH Gene (x106 copies/m3),Gamma 4 nifH Gene (x106 copies/m3),Gamma nifH Gene (x106 copies/m3),alpha nifH Gene (x106 copies/m3),Beta nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3),Total nifH Gene (x106 copies/m3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),N:P ratio,Fe (nM),Chlorophyll  (mg m-3),Notes
,qPCR,2010 December 2-11,21.00,119.50,150.00,1.85,,,,,3.92,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,119.50,200.00,3.24,,,,,2.66,,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,119.00,5.00,5.09,,,,,4.89,,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,119.00,15.00,1.35,,,,,5.78,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,119.00,50.00,2.28,,,,,3.43,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,119.00,75.00,1.90,,,,,6.44,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,119.00,100.00,2.08,,,,,4.22,,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,119.00,150.00,2.68,,,,,3.57,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,119.00,200.00,nan,,,,,7.80,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,118.00,5.00,3.40,,,,,3.27,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,118.00,15.00,12.55,,,,,2.25,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,118.00,50.00,4.33,,,,,2.32,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,118.00,75.00,1.67,,,,,2.20,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,118.00,100.00,nan,,,,,2.50,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,118.00,150.00,3.20,,,,,2.48,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,118.00,200.00,nan,,,,,3.53,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.60,5.00,3.14,,,,,3.89,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.60,15.00,3.30,,,,,3.76,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.60,50.00,2.12,,,,,2.53,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.60,75.00,9.92,,,,,3.05,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.60,100.00,1.98,,,,,3.33,,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.60,150.00,2.70,,,,,1.57,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.60,200.00,nan,,,,,2.13,,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.00,5.00,2.87,,,,,4.06,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.00,15.00,1.47,,,,,4.28,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.00,50.00,1.97,,,,,3.52,,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.00,75.00,nan,,,,,2.60,,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.00,100.00,2.54,,,,,2.49,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.00,150.00,nan,,,,,2.78,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,117.00,200.00,nan,,,,,2.71,,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,116.50,5.00,4.60,,,,,3.77,,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,116.50,15.00,4.80,,,,,2.30,,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,116.50,50.00,1.45,,,,,2.49,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,116.50,75.00,nan,,,,,2.69,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,116.50,100.00,nan,,,,,2.83,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,116.50,150.00,nan,,,,,2.69,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 December 2-11,21.00,116.50,200.00,nan,,,,,2.80,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shiozaki et al., 2014. GBC",qPCR,27 Nov to 16 Dec 2009,16.75,69,0.00,0.16,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,16.75,69,4.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
data shown in Figure 6,qPCR,27 Nov to 16 Dec 2009,16.75,69,12.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
data read from Figure 6,qPCR,27 Nov to 16 Dec 2009,16.75,69,22.00,0.16,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,16.75,69,46.00,0.20,,,,,0,,0.00,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,14,69,0.00,0.63,,,,,0,,0.16,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,14,69,5.00,1.26,,,,,0,,0.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,14,69,14.00,0.40,,,,,0,,0.50,,,,,,,,,,,,,,,2.51,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,14,69,25.00,1.26,,,,,0,,0.00,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,14,69,53.00,0.79,,,,,0,,0.00,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,10,68.75,0.00,1.58,,,,,0,,0.00,,,,,,,,,,,,,,,6.31,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,10,68.75,7.00,1.26,,,,,0,,0.00,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,10,68.75,16.00,7.94,,,,,0,,0.00,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,10,68.75,29.00,3.98,,,,,0,,0.00,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,10,68.75,62.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,4.02,69,0.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,4.02,69,16.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,4.02,69,60.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,-5.27,67.9,0.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,-5.27,67.9,16.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,-5.27,67.9,61.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,-20,72.55,0.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,-20,72.55,10.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,-20,72.55,24.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,-20,72.55,41.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
,qPCR,27 Nov to 16 Dec 2009,-20,72.55,86.00,0.00,,,,,0,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,
"Shiozaki et al., 2015. Biogeosciences",qPCR,2012 August 7-12,39.34,141.94,0.00,nan,,,,,24.90,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 August 7-12,39.33,142.17,0.00,nan,,,,,174.25,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
"data shown in figure 7, 8 and supplementary Figure S6",qPCR,2012 August 7-12,39.33,142.17,11.00,nan,,,,,206.87,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 August 7-12,39.33,142.17,34.00,nan,,,,,32.30,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 August 7-12,39.33,142.17,63.00,nan,,,,,2.84,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 August 7-12,39.33,142.50,0.00,nan,,,,,57.60,,nan,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,
,qPCR,2012 August 7-12,39.33,142.84,0.00,nan,,,,,77.95,,nan,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,
,qPCR,2012 August 7-12,38.42,141.49,0.00,nan,,,,,33.98,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 August 7-12,38.42,141.75,0.00,nan,,,,,105.25,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 August 7-12,38.42,142.00,0.00,nan,,,,,142.75,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 August 7-12,38.42,142.00,9.00,nan,,,,,79.90,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 August 7-12,38.42,142.00,34.00,nan,,,,,2.18,,nan,,,,,,,,,,,,,,,,4.21,,,,,,,,,,,,,
,qPCR,2012 August 7-12,38.42,142.00,62.00,nan,,,,,0.57,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 August 7-12,38.42,142.33,0.00,nan,,,,,264.25,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 August 7-12,38.42,142.67,0.00,nan,,,,,0.87,,nan,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,
,qPCR,2012 October 15-22,39.35,141.95,0.00,1.07,,,,,nan,,nan,,,,,,,,,,,,,,,,2.94,,,,,,,,,,,,,
,qPCR,2012 October 15-22,39.33,142.17,0.00,37.08,,,,,1.18,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 October 15-22,39.33,142.17,31.00,13.85,,,,,0.40,,nan,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,
,qPCR,2012 October 15-22,39.33,142.17,62.00,nan,,,,,0.96,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 October 15-22,39.33,142.50,0.00,13.43,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 October 15-22,39.33,142.84,0.00,2.06,,,,,nan,,nan,,,,,,,,,,,,,,,,2.14,,,,,,,,,,,,,
,qPCR,2012 October 15-22,38.43,141.49,0.00,1.31,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 October 15-22,38.42,141.75,0.00,2.86,,,,,2.76,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 October 15-22,38.42,142.00,0.00,nan,,,,,0.57,,nan,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,
,qPCR,2012 October 15-22,38.42,142.00,32.00,0.41,,,,,nan,,nan,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,
,qPCR,2012 October 15-22,38.42,142.00,65.00,nan,,,,,0.42,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2012 October 15-22,38.42,142.67,0.00,87.00,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 January 19-25,39.35,141.95,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 January 19-25,39.33,142.17,0.00,nan,,,,,0.71,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 January 19-25,39.33,142.17,41.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 January 19-25,39.33,142.17,76.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 January 19-25,39.33,142.50,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 January 19-25,39.33,142.84,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 January 19-25,38.43,141.49,0.00,nan,,,,,0.92,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 January 19-25,38.42,141.75,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,
,qPCR,2013 January 19-25,38.42,142.00,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 January 19-25,38.42,142.00,62.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 January 19-25,38.42,142.00,119.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 January 19-25,38.42,142.33,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,39.33,142.17,0.00,nan,,,,,12.37,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,39.33,142.17,23.00,nan,,,,,11.08,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,39.33,142.17,42.00,nan,,,,,0.66,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,39.32,142.50,0.00,nan,,,,,10.47,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,39.33,142.83,0.00,nan,,,,,27.98,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,38.42,141.49,0.00,nan,,,,,40.53,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,38.42,141.75,0.00,nan,,,,,2.31,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,38.42,142.00,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,38.42,142.00,25.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,38.42,142.00,44.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,38.42,142.33,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,1.79,,,,,,,,,,,,,
,qPCR,2013 June 24-29,38.42,142.67,0.00,nan,,,,,1.14,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 June 24-29,38.42,143.00,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,8.15,,,,,,,,,,,,,
,qPCR,2013 September 14-21,39.34,141.93,0.00,4.68,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 September 14-21,39.33,142.17,0.00,2.01,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 September 14-21,39.33,142.17,38.00,nan,,,,,0.45,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 September 14-21,39.33,142.17,72.00,nan,,,,,1.20,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 September 14-21,39.32,142.50,0.00,nan,,,,,9.49,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 September 14-21,39.33,142.83,0.00,nan,,,,,2.77,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 September 14-21,38.42,141.75,0.00,2.83,,,,,1.06,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 September 14-21,38.42,142.00,0.00,nan,,,,,7.95,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 September 14-21,38.42,142.33,0.00,0.51,,,,,2.13,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2013 September 14-21,38.42,142.67,0.00,10.49,,,,,12.08,,0.72,,,,,,,,,,,,,,,,17.60,,,,,,,,,,,,,
,qPCR,2014 March 14-19,39.33,142.17,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2014 March 14-19,39.33,142.17,14.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2014 March 14-19,39.33,142.17,26.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2014 March 14-19,39.32,142.50,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2014 March 14-19,39.33,142.83,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2014 March 14-19,38.42,141.75,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2014 March 14-19,38.42,142.00,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2014 March 14-19,38.42,142.00,25.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2014 March 14-19,38.42,142.00,65.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2014 March 14-19,38.42,142.33,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
,qPCR,2014 March 14-19,38.42,142.67,0.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,
"Hashimoto et al., 2016. Fish Sciences",qPCR,2012 April,34.63,135.00,0.00,,,,,,UD,,,,DNQ,,,,,,,,,,,,,,,,,,,,12.60,30.10,0.70,0.00,,,6.80,
,qPCR,June,34.63,135.00,0.00,,,,,,DNQ,,,,DNQ,,,,,,,,,,,,,,,,,,,,19.10,32.50,1.00,0.10,,,6.60,
,qPCR,August,34.63,135.00,0.00,,,,,,UD,,,,UD,,,,,,,,,,,,,,,,,,,,26.40,31.50,1.50,0.30,,,1.20,
data shown in Table 3,qPCR,October,34.63,135.00,0.00,,,,,,UD,,,,52.00,,,,,,,,,,,,,,,,,,,,24.40,32.90,2.90,0.30,,,2.00,
,qPCR,December,34.63,135.00,0.00,,,,,,UD,,,,32.00,,,,,,,,,,,,,,,,,,,,11.60,30.20,5.70,0.50,,,0.90,
,qPCR,2013 February,34.63,135.00,0.00,,,,,,UD,,,,230.00,,,,,,,,,,,,,,,,,,,,11.40,32.80,4.80,0.40,,,0.50,
,qPCR,April,34.63,135.00,0.00,,,,,,UD,,,,UD,,,,,,,,,,,,,,,,,,,,12.70,32.30,1.80,0.20,,,1.10,
,qPCR,June,34.63,135.00,0.00,,,,,,UD,,,,UD,,,,,,,,,,,,,,,,,,,,20.00,33.20,1.30,0.20,,,1.30,
,qPCR,August,34.63,135.00,0.00,,,,,,UD,,,,DNQ,,,,,,,,,,,,,,,,,,,,23.90,33.20,1.50,0.30,,,3.30,
,qPCR,October,34.63,135.00,0.00,,,,,,UD,,,,DNQ,,,,,,,,,,,,,,,,,,,,23.70,32.80,2.60,0.30,,,3.30,
,qPCR,December,34.63,135.00,0.00,,,,,,UD,,,,UD,,,,,,,,,,,,,,,,,,,,15.00,32.50,6.70,0.60,,,1.20,
,qPCR,2012 April,34.63,135.00,10.00,,,,,,UD,,,,7.70,,,,,,,,,,,,,,,,,,,,12.20,30.80,0.20,0.00,,,9.00,
,qPCR,June,34.63,135.00,10.00,,,,,,5.60,,,,UD,,,,,,,,,,,,,,,,,,,,19.10,32.60,0.90,0.10,,,4.60,
,qPCR,August,34.63,135.00,10.00,,,,,,UD,,,,UD,,,,,,,,,,,,,,,,,,,,26.50,32.00,2.00,0.30,,,1.10,
,qPCR,October,34.63,135.00,10.00,,,,,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,24.40,32.90,3.40,0.30,,,1.50,
,qPCR,December,34.63,135.00,10.00,,,,,,UD,,,,32.00,,,,,,,,,,,,,,,,,,,,12.50,31.00,5.70,0.50,,,1.00,
,qPCR,2013 February,34.63,135.00,10.00,,,,,,UD,,,,690.00,,,,,,,,,,,,,,,,,,,,11.40,32.80,4.40,0.40,,,0.60,
,qPCR,April,34.63,135.00,10.00,,,,,,UD,,,,DNQ,,,,,,,,,,,,,,,,,,,,12.70,32.30,1.80,0.20,,,1.10,
,qPCR,June,34.63,135.00,10.00,,,,,,UD,,,,UD,,,,,,,,,,,,,,,,,,,,19.70,33.20,1.50,0.20,,,1.30,
,qPCR,August,34.63,135.00,10.00,,,,,,UD,,,,5.00,,,,,,,,,,,,,,,,,,,,23.30,33.20,1.60,0.20,,,2.20,
,qPCR,October,34.63,135.00,10.00,,,,,,UD,,,,UD,,,,,,,,,,,,,,,,,,,,23.70,32.90,2.70,0.30,,,3.40,
,qPCR,December,34.63,135.00,10.00,,,,,,UD,,,,UD,,,,,,,,,,,,,,,,,,,,15.10,32.80,6.70,0.60,,,1.40,
,qPCR,2012 April,35.00,135.50,0.00,,,,,,UD,,,,DNQ,,,,,,,,,,,,,,,,,,,,14.20,26.60,1.90,0.00,,,20.50,
,qPCR,June,35.00,135.50,0.00,,,,,,DNQ,,,,DNQ,,,,,,,,,,,,,,,,,,,,18.70,29.80,1.70,0.10,,,43.40,
,qPCR,August,35.00,135.50,0.00,,,,,,DNQ,,,,UD,,,,,,,,,,,,,,,,,,,,27.90,25.80,2.00,0.40,,,95.30,
,qPCR,October,35.00,135.50,0.00,,,,,,UD,,,,4.70,,,,,,,,,,,,,,,,,,,,23.70,30.90,0.10,0.00,,,23.80,
,qPCR,December,35.00,135.50,0.00,,,,,,UD,,,,11.00,,,,,,,,,,,,,,,,,,,,14.70,31.80,20.60,0.90,,,2.60,
,qPCR,2013 February,35.00,135.50,0.00,,,,,,UD,,,,860.00,,,,,,,,,,,,,,,,,,,,8.80,26.80,37.40,1.10,,,4.60,
,qPCR,April,35.00,135.50,0.00,,,,,,UD,,,,UD,,,,,,,,,,,,,,,,,,,,14.80,28.10,11.40,0.10,,,0.50,
,qPCR,June,35.00,135.50,0.00,,,,,,DNQ,,,,6.60,,,,,,,,,,,,,,,,,,,,21.20,31.40,0.10,0.00,,,5.30,
,qPCR,August,35.00,135.50,0.00,,,,,,UD,,,,UD,,,,,,,,,,,,,,,,,,,,30.30,27.80,0.30,0.10,,,30.80,
,qPCR,October,35.00,135.50,0.00,,,,,,UD,,,,DNQ,,,,,,,,,,,,,,,,,,,,22.20,29.30,17.20,1.20,,,6.00,
,qPCR,December,35.00,135.50,0.00,,,,,,UD,,,,UD,,,,,,,,,,,,,,,,,,,,11.90,28.40,34.00,1.30,,,0.50,
,qPCR,2012 April,35.00,135.50,10.00,,,,,,UD,,,,DNQ,,,,,,,,,,,,,,,,,,,,11.80,31.60,3.80,0.10,,,4.00,
,qPCR,June,35.00,135.50,10.00,,,,,,5.00,,,,DNQ,,,,,,,,,,,,,,,,,,,,18.30,32.20,0.40,0.20,,,9.50,
,qPCR,August,35.00,135.50,10.00,,,,,,UD,,,,DNQ,,,,,,,,,,,,,,,,,,,,26.80,31.00,0.70,0.50,,,1.00,
,qPCR,October,35.00,135.50,10.00,,,,,,UD,,,,DNQ,,,,,,,,,,,,,,,,,,,,23.60,31.50,0.50,0.10,,,10.10,
,qPCR,December,35.00,135.50,10.00,,,,,,UD,,,,15.00,,,,,,,,,,,,,,,,,,,,14.60,31.80,13.50,0.60,,,6.40,
,qPCR,2013 February,35.00,135.50,10.00,,,,,,UD,,,,690.00,,,,,,,,,,,,,,,,,,,,9.10,31.70,6.10,0.30,,,5.80,
