LATITUDE,LONGITUDE,Trichodesmium nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),DEPTH (m)
-11,157,10.65,0.0,0.72,15.0
-11,157,10.2,0.0,1.64,30.0
-11,157,24.06,0.0,17.07,80.0
-10,159,45.33,0.0,11.64,5.0
-10,159,35.44,0.0,10.34,15.0
-10,159,10.42,0.01,1.86,35.0
-10,159,0.0,0.0,0.0,85.0
-10,160,111.09,0.0,3.4,5.0
-10,160,161.58,0.0,8.29,15.0
-10,160,44.49,0.0,8.66,30.0
-10,160,0.93,0.0,1.17,80.0
44,-9,0.0,0.0,0.0,0.0
44,-9,0.0,0.06,0.0,0.0
44,-9,0.0,0.0,0.0,0.0
44,-9,0.0,0.21,0.0,0.0
44,-9,0.0,0.0,0.0,0.0
44,-9,0.0,1.08,0.0,0.0
44,-9,0.0,0.93,0.0,0.0
44,-9,0.0,2.04,0.0,0.0
44,-9,0.0,0.18,0.0,0.0
44,-9,0.0,0.5,0.0,0.0
0,-170,0.0,0.0,0.0,0.0
0,-170,0.0,0.0,0.0,22.0
0,-170,0.0,0.0,0.0,37.0
0,-170,0.0,0.0,0.0,70.0
0,-170,0.0,0.0,0.0,104.0
5,-170,0.0,0.0,0.0,0.0
5,-170,0.0,0.0,0.0,16.0
5,-170,0.0,0.0,0.0,37.0
5,-170,0.0,0.0,0.0,94.0
5,-170,0.0,0.0,0.0,153.0
10,-170,0.0,0.0,0.0,0.0
10,-170,0.0,0.0,0.0,24.0
10,-170,0.0,0.0,0.0,47.0
10,-170,0.0,0.0,0.0,103.0
10,-170,0.0,0.0,0.0,140.0
15,-170,0.37,43.08,77.83,0.0
15,-170,0.28,50.76,136.41,19.0
15,-170,1.42,55.59,60.33,48.0
15,-170,0.0,8.19,0.79,116.0
15,-170,0.0,0.0,0.63,170.0
20,-170,0.18,7.8,109.89,0.0
20,-170,0.86,7.36,68.04,20.0
20,-170,14.25,150.28,140.39,47.0
20,-170,0.0,23.89,1.52,100.0
20,-170,0.0,0.0,0.67,144.0
24,-170,5.85,18.74,5.73,0.0
24,-170,3.72,231.07,11.96,25.0
24,-170,0.0,880.72,1.29,54.0
24,-170,0.0,0.0,0.35,113.0
24,-170,0.0,0.0,0.0,157.0
30,-170,0.13,9.1,0.0,0.0
30,-170,0.57,45.73,0.0,27.0
30,-170,0.0,29.81,0.0,50.0
30,-170,0.0,0.0,0.0,93.0
30,-170,0.0,0.0,0.0,140.0
35,-170,0.0,0.0,0.0,0.0
35,-170,0.0,0.0,0.0,22.0
35,-170,0.0,0.0,0.0,40.0
35,-170,0.0,0.0,0.0,70.0
35,-170,0.0,0.0,0.0,99.0
40,-170,0.0,0.0,0.0,0.0
40,-170,0.0,0.0,0.0,15.0
40,-170,0.0,0.0,0.0,27.0
40,-170,0.0,0.0,0.0,63.0
40,-170,0.0,0.0,0.0,119.0
45,-170,0.0,0.0,0.0,0.0
45,-170,0.0,0.0,0.0,15.0
45,-170,0.0,0.0,0.0,29.0
45,-170,0.0,0.0,0.0,64.0
45,-170,0.0,0.0,0.0,107.0
50,-170,0.0,0.0,0.0,0.0
50,-170,0.0,0.0,0.0,9.0
50,-170,0.0,0.0,0.0,17.0
50,-170,0.0,0.0,0.0,63.0
50,-170,0.0,0.0,0.0,104.0
55,-170,0.0,0.0,0.0,0.0
55,-170,0.0,0.0,0.0,5.0
55,-170,0.0,0.0,0.0,11.0
55,-170,0.0,0.0,0.0,31.0
55,-170,0.0,0.0,0.0,60.0
60,-171,0.0,0.0,0.0,0.0
60,-171,0.0,0.0,0.0,8.0
60,-171,0.0,0.0,0.0,14.0
60,-171,0.0,0.0,0.0,29.0
60,-171,0.0,0.0,0.0,46.0
64,-168,0.0,123.1,0.0,0.0
64,-168,0.0,6.05,0.0,9.0
64,-168,0.0,1.05,0.0,13.0
64,-168,0.0,0.65,0.0,20.0
64,-168,0.0,0.22,0.0,30.0
68,-168,0.0,0.0,0.0,0.0
68,-168,0.0,0.0,0.0,18.0
68,-168,0.0,0.0,0.0,27.0
68,-168,0.0,0.0,0.0,35.0
23,117,0.04,0.0,0.0,5.0
23,118,0.07,0.0,0.0,5.0
23,117,0.0,0.0,0.0,5.0
23,117,0.04,0.0,0.0,5.0
22,117,0.23,0.0,0.0,5.0
24,119,0.06,0.0,0.0,5.0
24,119,0.07,0.0,0.0,5.0
24,118,0.04,0.0,0.0,5.0
24,119,0.06,0.0,0.0,5.0
25,119,0.11,0.0,0.0,5.0
